40
-646 -836 412 681 287 326 -347 -118 -781 279 -728 539 -403 212 -901 568 528 -227 -280 583 392 18 -671 -486 24 -657 312 -300 385 -170 62 9 189 -914 -457 -614 474 -860 -547 423 
-834 403 29 -888 600 -880 -370 31 -894 300 731 -351 -925 -14 -175 -484 -922 721 -92 38 145 60 910 29 605 752 -931 -822 -887 -730 130 -848 419 -557 -114 428 -270 580 -490 732 
145 -937 -585 -801 -424 177 377 -232 628 -751 319 559 736 -594 713 -305 537 449 740 -694 720 -589 -696 759 991 2 -948 -759 395 544 799 -445 518 72 245 614 -718 926 -367 -336 
987 -639 -978 -955 -891 -127 -519 98 -594 -325 997 262 613 -324 -620 -788 -806 -199 113 141 838 275 762 176 -8 642 212 942 -373 676 -278 -993 853 -346 -611 -784 664 -32 -733 463 
466 -83 481 55 350 508 -583 800 -280 753 -497 950 -958 63 -521 163 81 -896 34 -891 -917 981 -646 -394 563 -554 444 -843 -351 867 -895 409 -703 -638 236 -214 518 -290 -601 -436 
-104 -659 675 410 -529 -441 -145 -362 -633 221 234 -517 25 760 723 -279 -373 -107 -371 -278 661 217 -512 390 116 522 -303 146 904 -357 -165 224 138 225 29 670 613 333 909 275 
-54 -750 -99 663 -41 -588 -401 -783 -966 394 -756 -483 750 -476 -62 43 -147 -250 -131 -348 -548 305 -321 773 -499 568 380 565 -291 -87 43 -407 -592 -324 -456 594 -782 -965 661 791 
-288 -47 61 -186 -757 955 524 961 -147 245 -51 -202 70 -287 106 -204 821 -760 114 961 550 935 460 -255 962 -271 -373 167 -786 -924 221 867 -896 -811 716 -249 -54 615 -21 465 
401 -742 283 -987 81 -161 95 -393 -29 41 -676 656 -463 570 -75 -51 -370 -756 -921 736 -274 968 -455 -607 -221 -383 549 -367 215 -966 406 818 993 -161 70 -525 402 -287 -565 -481 
-7 -682 171 742 -322 773 -214 688 -385 -65 -945 -238 -860 -361 -26 665 -660 464 -832 919 576 -892 260 588 286 -800 -948 -644 144 -332 390 327 -891 942 -851 -856 897 -587 -872 193 
363 857 -318 713 -807 -924 -280 531 457 -243 -165 -758 305 89 36 -942 -305 278 -60 987 167 914 -47 283 382 346 234 -869 387 -817 220 986 -788 -874 973 -359 -13 -375 -497 -695 
965 -267 -423 549 778 115 -535 475 -617 -189 348 -430 -993 -326 -83 768 -112 918 -701 619 -47 376 -584 92 -244 -801 294 154 -55 -448 327 -965 -909 89 253 -780 96 -693 721 245 
619 877 -951 842 65 -737 -598 -50 -759 395 -924 -267 170 -85 105 -788 -898 -786 889 940 989 -470 204 -51 514 166 439 -587 272 326 47 -589 215 -518 -382 -132 -825 -666 -144 196 
642 -576 183 -913 821 513 -734 399 146 693 51 225 810 573 -669 -239 -113 963 -668 -219 -961 476 -2 347 786 -933 -456 390 664 -173 832 -798 474 -816 -137 828 828 154 513 143 
-568 -933 -901 324 411 275 749 519 -776 342 -787 -695 -965 905 -712 -48 -236 544 934 396 475 954 196 -417 512 -119 882 139 -139 -77 -606 -912 -510 -982 -950 674 297 135 839 -782 
881 274 -159 -295 -788 931 -606 -358 -127 -290 116 380 -368 -309 -372 431 475 121 -156 -866 174 -34 514 -256 -410 440 163 -164 -839 679 69 -80 698 176 -378 -849 -242 -5 -250 892 
-837 -499 -119 265 421 -434 995 694 -16 359 848 -996 -112 236 682 -97 982 555 -696 -10 135 243 -951 -6 -8 341 -996 809 -774 -936 -42 397 -834 -133 254 -906 118 -38 155 -262 
64 10 -386 904 506 906 647 -749 -201 -865 952 -861 -856 -156 -401 -354 189 522 337 259 499 -649 -573 900 -949 553 113 812 238 -736 -9 -99 -956 -931 197 -135 -478 -372 -851 782 
595 674 464 970 -424 736 -799 -760 163 182 182 51 -983 315 -886 714 295 759 278 -947 52 -389 246 833 -204 -257 400 21 979 409 -251 -178 918 656 86 816 176 336 -139 -418 
-452 955 277 -995 376 -169 -650 244 -167 -514 18 124 -541 568 988 130 188 -612 911 346 69 434 691 -19 364 269 308 100 697 506 -919 -558 -908 -324 105 -935 -671 412 112 -592 
271 -1 -743 242 70 790 -562 642 -317 382 -723 864 -738 -466 77 -823 801 -181 -898 651 585 -85 -445 -65 -354 363 484 -129 -235 546 731 -421 -639 122 -369 -960 -10 905 812 227 
517 56 -73 475 -729 818 715 -132 32 -851 954 450 -719 653 -865 -620 37 677 116 -993 -378 886 214 -60 -887 -737 876 -827 126 -938 -130 -392 -65 852 -502 -387 874 61 -935 690 
441 -446 897 -610 -925 -452 -962 -458 709 797 800 811 -65 433 -936 -115 78 836 -35 311 -497 43 649 -766 731 -800 629 -119 9 883 -22 -727 89 -943 848 -203 483 -286 674 27 
-30 -18 962 960 129 -200 55 192 -565 549 41 925 -483 781 -76 245 809 -386 146 -941 746 -242 -380 -915 373 -915 -82 154 184 -347 821 340 -30 -863 -676 826 -578 62 149 -26 
-686 -951 748 20 -352 815 -687 109 -317 -346 550 -305 -1 689 586 -564 765 -899 198 87 234 -369 579 -191 -599 380 -843 -166 -991 -846 667 -355 486 -123 -801 91 -455 -861 772 565 
348 966 -260 -296 -228 283 891 274 139 273 487 640 -517 273 305 463 665 -166 -340 176 458 237 539 103 -438 396 78 -29 -808 46 -51 368 -45 -56 -718 867 -985 600 -572 -971 
675 -860 -986 -273 -826 -511 905 -797 -668 -15 52 -227 365 -588 -478 760 15 439 -428 898 727 -615 0 -153 -600 369 311 -1000 34 -109 -591 527 -815 379 -692 307 -892 -731 287 840 
-818 -927 -535 -181 -630 -811 -374 589 -353 -209 -48 522 -495 798 -294 256 790 773 627 89 -202 576 8 -89 -317 699 177 397 -647 -453 431 601 -260 116 -428 -333 -874 -659 -635 -508 
144 -484 -195 -601 564 -286 118 388 637 436 285 -446 -425 -473 858 -251 542 351 657 116 -532 -721 646 747 -687 63 -748 -76 196 -268 694 791 718 751 -227 726 220 -960 -934 288 
